PersonId,AttributeKey,AttributeValue
3731,MembershipDate,2007-09-23T00:00:00.0000000
3731,IndCampus,Sojourn New Albany
3731,IndMilitary,None
3731,IndSpiritualMaturity,Leading
3731,IndBaptized,Baptized
3731,IndFamPosition,Primary Contact
3731,IndAnniversary,2003-12-20T00:00:00.0000000
3732,MembershipDate,2007-09-23T00:00:00.0000000
3732,IndCampus,Sojourn New Albany
3732,IndSpiritualMaturity,Leading
3732,IndBaptized,Baptized
3732,IndFamPosition,Spouse
3732,IndAnniversary,2003-12-20T00:00:00.0000000
3733,IndCampus,Sojourn New Albany
3733,IndLimitAccessUser,1
3733,IndFamPosition,Child
3734,IndCampus,Sojourn New Albany
3734,IndFamPosition,Child
3735,IndCampus,Sojourn New Albany
3735,IndFamPosition,Child
3736,IndCampus,Sojourn New Albany
3736,IndLimitAccessUser,1
3736,IndFamPosition,Other
3737,IndCampus,Sojourn New Albany
3737,IndLimitAccessUser,1
3737,IndFamPosition,Other
3738,IndCampus,Sojourn Midtown
3738,IndFamPosition,Primary Contact
3739,IndCampus,Sojourn Midtown
3739,IndFamPosition,Primary Contact
3740,IndCampus,Sojourn Midtown
3740,IndFamPosition,Primary Contact
3741,IndCampus,Sojourn Midtown
3741,IndFamPosition,Primary Contact
3742,IndCampus,Sojourn Midtown
3742,IndFamPosition,Primary Contact
3742,IndReasonLeft,Moved Out of Town
3743,IndCampus,Sojourn Midtown
3743,IndFamPosition,Child
3744,IndCampus,Sojourn Midtown
3744,IndLimitAccessUser,1
3744,IndFamPosition,Child
3745,MembershipDate,2009-01-28T00:00:00.0000000
3745,IndCampus,Sojourn Midtown
3745,IndBaptized,Baptized
3745,IndFamPosition,Primary Contact
3746,MembershipDate,2003-10-29T00:00:00.0000000
3746,IndCampus,Sojourn Midtown
3746,IndAgeBracket,19 - 24
3746,IndSpiritualMaturity,Stable
3746,IndBaptized,Baptized
3746,IndFamPosition,Primary Contact
3747,MembershipDate,2012-12-09T00:00:00.0000000
3747,IndCampus,Sojourn Midtown
3747,IndBaptized,Baptized
3747,IndFamPosition,Primary Contact
