Id,PersonId,AccountId,StartDate,EndDate,PledgeFrequency,TotalAmount
1130,1338,127,5/1/2016 12:00:00 AM,4/21/2019 12:00:00 AM,Monthly,3600
736,2371,2,1/12/2012 12:00:00 AM,1/12/2012 12:00:00 AM,OneTime,1
885,2371,118,12/1/2015 12:00:00 AM,11/30/2020 12:00:00 AM,Monthly,3000
224,1370,81,5/7/2006 12:00:00 AM,5/7/2011 12:00:00 AM,Monthly,600
750,1376,89,5/1/2010 12:00:00 AM,4/25/2015 12:00:00 AM,Weekly,5200
363,4347,2,5/1/2010 12:00:00 AM,5/1/2015 12:00:00 AM,Monthly,1200
362,4347,81,11/25/2007 12:00:00 AM,11/25/2012 12:00:00 AM,Monthly,1200
1093,22432,127,5/1/2016 12:00:00 AM,4/21/2019 12:00:00 AM,Monthly,720
1116,8335,127,5/1/2016 12:00:00 AM,4/28/2019 12:00:00 AM,OneTime,1560
671,1509,92,5/1/2010 12:00:00 AM,5/1/2010 12:00:00 AM,OneTime,1
225,1575,81,4/30/2006 12:00:00 AM,4/30/2006 12:00:00 AM,OneTime,20
226,1619,81,12/2/2007 12:00:00 AM,12/2/2012 12:00:00 AM,Monthly,3000
1133,1718,127,5/1/2016 12:00:00 AM,4/21/2019 12:00:00 AM,Monthly,180
1054,1721,127,5/1/2016 12:00:00 AM,4/28/2019 12:00:00 AM,Yearly,9000
227,1769,81,9/3/2006 12:00:00 AM,8/28/2011 12:00:00 AM,Weekly,2600
984,1846,118,1/1/2016 12:00:00 AM,12/31/2020 12:00:00 AM,Monthly,12000
1127,1849,127,5/1/2016 12:00:00 AM,4/21/2019 12:00:00 AM,Weekly,12360
592,1853,92,5/9/2010 12:00:00 AM,5/5/2013 12:00:00 AM,Weekly,1560
948,1936,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,OneTime,2000
228,1948,88,1/12/2012 12:00:00 AM,1/12/2012 12:00:00 AM,OneTime,1
703,12277,88,2/28/2012 12:00:00 AM,2/28/2012 12:00:00 AM,OneTime,1
1009,1988,118,1/1/2016 12:00:00 AM,12/31/2020 12:00:00 AM,OneTime,30000
1095,2002,127,5/1/2016 12:00:00 AM,4/21/2019 12:00:00 AM,Monthly,1080
888,2040,118,12/1/2015 12:00:00 AM,11/30/2020 12:00:00 AM,Monthly,6000
792,2041,118,11/22/2015 12:00:00 AM,11/8/2020 12:00:00 AM,Weekly,3900
975,2053,118,12/6/2015 12:00:00 AM,12/31/2016 12:00:00 AM,Weekly,4480
860,2058,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,Monthly,600
825,24346,118,1/1/2016 12:00:00 AM,12/31/2020 12:00:00 AM,Monthly,4800
57,2074,81,6/1/2006 12:00:00 AM,6/1/2011 12:00:00 AM,Monthly,3000
230,2086,81,6/4/2006 12:00:00 AM,6/4/2011 12:00:00 AM,Monthly,3000
229,2086,92,7/1/2010 12:00:00 AM,7/1/2015 12:00:00 AM,Monthly,3000
767,2097,118,1/1/2016 12:00:00 AM,12/31/2020 12:00:00 AM,Monthly,30000
1149,2163,127,5/1/2016 12:00:00 AM,4/28/2019 12:00:00 AM,Monthly,5400
231,2191,81,4/30/2006 12:00:00 AM,4/24/2011 12:00:00 AM,Weekly,5200
1125,2191,127,5/1/2016 12:00:00 AM,4/28/2019 12:00:00 AM,Monthly,7200
58,2256,81,12/1/2007 12:00:00 AM,12/1/2012 12:00:00 AM,Monthly,5550
59,2256,92,5/1/2010 12:00:00 AM,5/1/2014 12:00:00 AM,Monthly,2400
1056,2256,127,5/1/2016 12:00:00 AM,4/28/2019 12:00:00 AM,Monthly,1800
1021,2369,118,1/1/2016 12:00:00 AM,12/31/2020 12:00:00 AM,Monthly,4500
232,2403,81,11/18/2007 12:00:00 AM,11/18/2012 12:00:00 AM,Monthly,6000
